#SampleID	Sample	SubjectID	SampleType	BodySite	Initial Caries	Moderate Caries	Severe Caries	Cage.N	Weight	C.albicans_CFU.ml	S.mutans_CFU.ml	HostSpecies	study_day	study_color	study_group
DNAfreewater1	DNAfreewater1	NA	DNA-free water	DNA-free water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAfreewater2	DNAfreewater2	NA	DNA-free water	DNA-free water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAfreewater3	DNAfreewater3	NA	DNA-free water	DNA-free water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAfreewater4	DNAfreewater4	NA	DNA-free water	DNA-free water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Env1	Env1	NA	Oral Swab	Oral	NA	NA	NA	NA	NA	NA	NA	NA	NA	Contamination Control	Contamination Control
Env2	Env2	NA	Oral Swab	Oral	NA	NA	NA	NA	NA	NA	NA	NA	NA	Contamination Control	Contamination Control
Env3	Env3	NA	Oral Swab	Oral	NA	NA	NA	NA	NA	NA	NA	NA	NA	Contamination Control	Contamination Control
Env4	Env4	NA	Oral Swab	Oral	NA	NA	NA	NA	NA	NA	NA	NA	NA	Contamination Control	Contamination Control
Extractblankswab1	Extractblankswab1	NA	Blank swab	Blank swab	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Extractblankswab2	Extractblankswab2	NA	Blank swab	Blank swab	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Extractblanktip1	Extractblanktip1	NA	Blank tip	Blank tip	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Extractblanktip2	Extractblanktip2	NA	Blank tip	Blank tip	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Extractemptywell1	Extractemptywell1	NA	Empty well	Empty well	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Extractemptywell2	Extractemptywell2	NA	Empty well	Empty well	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Extractemptywell3	Extractemptywell3	NA	Empty well	Empty well	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Extractemptywell4	Extractemptywell4	NA	Empty well	Empty well	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
geneblock1	geneblock1	NA	Mock DNA	Mock DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
geneblock2	geneblock2	NA	Mock DNA	Mock DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
