	faith_pd
B.1.2F	20.968813033
B.1.F	22.924803243
B.1.R37.PL	14.044725207000003
B.1.Sw	4.4883090525
B.12.3Sw	8.187812937
B.2.2F	20.322330477
B.2.3Sw	5.426841157999999
B.2.F	13.755624231999999
B.2.R39.PL	8.836646638000001
B.2.Sw	5.889988334
B.3.F	12.488888750000001
B.3.R42.PL	9.27152306
B.3.Sw	4.6599821485
B.4.2F	24.890169081
B.4.3Sw	12.692813777
B.4.F	13.039883796000002
B.4.R43.PL	10.443783789000001
B.4.Sw	5.2028795054999994
B.5.2F	19.533483273
B.5.3Sw	9.53574891
B.5.F	15.007705491
B.6.2F	17.363113072999997
B.6.F	10.534614509
B.6.R47.PL	12.336703581999998
B.6.Sw	22.442524006
B.8.3Sw	7.811551842000001
B.9.3Sw	8.071337876
DNAfreewater3	0.5972764374999999
Env1	2.1929316155
Env2	5.300143431
Env3	6.792760562
Env4	7.994767360000001
Extractblankswab1	0.6552321375
Extractblanktip1	0.7867404875
Extractemptywell4	0.3588062345
G.1.2F	21.547817201999997
G.1.F	17.474485182
G.1.R25.PL	14.120020758
G.1.Sw	12.685460909
G.2.2F	23.831812684
G.2.F	16.522369376
G.2.R28.PL	12.217484710999999
G.2.Sw	7.306621508999999
G.3.F	24.193182463
G.38.3Sw	5.836172811
G.4.2F	23.798885487
G.4.F	24.350301952000002
G.4.R32.PL	5.00237737
G.4.Sw	4.0739732985
G.40.3Sw	7.179540168
G.41.3Sw	8.731107329
G.43.3Sw	7.767228053
G.46.3Sw	6.512981468
G.47.3Sw	11.620475541
G.5.2F	17.990214895
G.5.F	8.753439223
G.5.R34.PL	17.28456362
G.5.Sw	8.808979673
G.6.2F	22.498010703
G.6.F	24.7573325
G.6.R35.PL	13.045581809000002
G.6.Sw	7.027221589
geneblock1	3.4254885155
geneblock2	3.4980066445
geneblock3	3.3948243355
geneblock4	3.3044989125
O.1.F	14.385835088
O.14.3Sw	8.784932204999999
O.15.3Sw	7.858110754
O.17.3Sw	6.173210276
O.2.F	14.806248989
O.20.3Sw	9.864770614999998
O.21.3Sw	10.446481774
O.24.3Sw	5.3097306685
O.3.F	14.640741167
O.4.F	16.168582516999997
O.5.F	16.743940312
O.6.F	19.286356276
PI.1.F	16.122868293
PI.2.2F	17.091952756
PI.2.F	19.065647949000002
PI.2.R52.PL	17.083797937
PI.2.Sw	7.274647408000002
PI.3.2F	20.338271051
PI.3.F	26.882278364000005
PI.3.R53.PL	9.172239225
PI.3.Sw	6.0395386835
PI.4.2F	16.876613778
PI.4.R56.PL	14.365718888999998
PI.4.Sw	8.568160543
PI.5.2F	19.800515353
PI.5.R57.PL	13.833342556999998
PI.5.Sw	17.796850431
PI.6.2F	18.007497581000003
PI.6.R60.PL	11.414957214000001
PI.6.Sw	8.233130836
PI.67.3Sw	7.0668322
PI.69.3Sw	8.784874533
PI.72.3Sw	4.912813748
PU.1.2F	18.040013607000002
PU.1.F	16.522981133
PU.1.R61.PL	8.557049751
PU.1.Sw	12.668647576
PU.2.2F	14.829490203
PU.2.F	18.73418357
PU.2.R64.PL	20.801291971
PU.2.Sw	7.921333824500001
PU.3.F	12.197278584
PU.4.2F	25.435948736
PU.4.R68.PL	10.867948936000001
PU.4.Sw	4.520373438499999
PU.5.2F	17.686102161999997
PU.5.R70.PL	8.621637718999999
PU.5.Sw	6.023426096500001
PU.6.2F	17.837972317000002
PU.6.R71.PL	12.34067578
PU.6.Sw	5.2256488865
PU.62.3Sw	10.089410396999998
PU.63.3Sw	10.653635246
PU.65.3Sw	7.859164021999999
R.1.F	16.967866478999998
R.1.R14.PL	12.153654055999999
R.1.Sw	7.546748887000001
R.2.2F	17.933845636
R.2.F	15.086288549999999
R.2.R16.PL	10.611437334
R.2.Sw	10.147657027
R.26.3Sw	10.230430749
R.27.3Sw	14.426774952999999
R.29.3Sw	10.249808874000001
R.3.2F	16.141078863
R.3.F	28.512239814
R.3.R17.PL	10.727792259000001
R.3.Sw	6.127421366999999
R.31.3Sw	8.777222787
R.33.3Sw	9.804190748
R.35.3Sw	7.34487583
R.4.2F	19.075249753
R.4.F	13.397006288
R.5.2F	29.105401190000002
R.5.F	9.256228505000001
R.5.R22.PL	9.982795378
R.5.Sw	5.970267835
R.6.2F	22.796514326
R.6.F	20.258788233
R.6.R24.PL	7.930217034
R.6.Sw	4.3143631705
Y.1.2F	7.558499798000001
Y.1.F	23.938551343
Y.1.R2.PL	19.613389664000003
Y.1.Sw	5.0467424115
Y.2.2F	21.311502371
Y.2.F	23.328272687000002
Y.2.R3.PL	11.072635179
Y.2.Sw	6.070166077
Y.3.2F	21.567173843
Y.3.F	24.579064953
Y.3.R5.PL	10.557039073000002
Y.3.Sw	5.906814386000001
Y.4.F	19.122172393
Y.49.3Sw	7.170519844
Y.5.2F	23.479132167
Y.5.F	14.337496175
Y.5.R10.PL	7.342525845
Y.5.Sw	4.7614483885
Y.51.3Sw	17.85281544
Y.54.3Sw	8.269542831
Y.55.3Sw	10.531268463
Y.58.3Sw	7.084396563
Y.59.3Sw	10.808057684
Y.6.2F	24.340078948
Y.6.F	14.045520588999999
Y.6.R12.PL	10.975455270999998
Y.6.Sw	5.6124211655
